KEY,CODE_ID,PRICETYPE_ID,TIMESTAMP_ID,名称,类型,类别,QUOTE_ID,PRICEREPORTITEMID,FORWARD_PERIOD,FORWARD_YEAR,UNIT_ID1,UNIT_ID2
20204|8|6,20204,8,6,"Vostochny 5,500 kcal fob（周均价）",日,煤炭,202040600,0,0,2026,3,44
46773|8|0,46773,8,0,代码 46773（PT8/TS0）,周,其他,467730000,0,32,2026,3,44
24497|8|6,24497,8,6,"ARA 5,700 NAR cif（2个月）",日,煤炭,244970600,0,0,2026,3,44
2608|8|6,2608,8,6,"API 2 现货（6,000 NAR cif ARA 2个月）",日,煤炭,26080600,0,0,2026,3,44
7774|4|0,7774,4,0,"API 4 指数（日，fob 理查兹湾 6,000）",周,煤炭,77740000,0,0,2026,3,44
2140|4|0,2140,4,0,"API 2 指数（周，cif ARA 6,000）",周,煤炭,21400000,0,32,2026,3,44
2141|4|0,2141,4,0,"API 4 指数（周，fob 理查兹湾 6,000）",周,煤炭,21410000,0,32,2026,3,44
12924|4|0,12924,4,0,"API 3 指数（周，fob 理查兹湾 5,500）",周,煤炭,129240000,0,32,2026,3,44
31804|8|6,31804,8,6,代码 31804（PT8/TS6）,日,其他,318040600,0,32,2026,3,44
31805|8|6,31805,8,6,代码 31805（PT8/TS6）,日,其他,318050600,0,32,2026,3,44
31806|8|6,31806,8,6,代码 31806（PT8/TS6）,日,其他,318060600,0,32,2026,3,44
11139|8|6,11139,8,6,Turkey supra cif（周均价）,日,煤炭,111390600,0,0,2026,3,44
9657|8|6,9657,8,6,Turkey mini bulk cif（周均价）,日,煤炭,96570600,0,0,2026,3,44
2579|8|6,2579,8,6,"API 4 现货（6,000 NAR fob 理查兹湾 2个月）",日,煤炭,25790600,0,0,2026,3,44
24841|2|6,24841,2,6,代码 24841（PT2/TS6）,日,其他,248410601,0,2027,2027,3,44
2648|1|6,2648,1,6,代码 2648（PT1/TS6）,日,其他,26480601,0,9,2026,3,44
2644|1|6,2644,1,6,代码 2644（PT1/TS6）,日,其他,26440601,0,4,2026,3,44
2645|1|6,2645,1,6,代码 2645（PT1/TS6）,日,其他,26450601,0,2027,2027,3,44
2648|2|6,2648,2,6,代码 2648（PT2/TS6）,日,其他,26480601,0,9,2026,3,44
2644|2|6,2644,2,6,代码 2644（PT2/TS6）,日,其他,26440601,0,4,2026,3,44
24840|2|6,24840,2,6,代码 24840（PT2/TS6）,日,其他,248400601,0,4,2026,3,44
24839|2|6,24839,2,6,代码 24839（PT2/TS6）,日,其他,248390601,0,9,2026,3,44
2641|1|6,2641,1,6,代码 2641（PT1/TS6）,日,其他,26410601,0,2027,2027,3,44
2646|2|6,2646,2,6,代码 2646（PT2/TS6）,日,其他,26460601,0,9,2026,3,44
2636|2|6,2636,2,6,代码 2636（PT2/TS6）,日,其他,26360601,0,4,2026,3,44
2641|2|6,2641,2,6,代码 2641（PT2/TS6）,日,其他,26410601,0,2027,2027,3,44
24839|1|6,24839,1,6,代码 24839（PT1/TS6）,日,其他,248390601,0,9,2026,3,44
24840|1|6,24840,1,6,代码 24840（PT1/TS6）,日,其他,248400601,0,4,2026,3,44
24841|1|6,24841,1,6,代码 24841（PT1/TS6）,日,其他,248410601,0,2027,2027,3,44
45536|8|8,45536,8,8,代码 45536（PT8/TS8）,日,其他,455360800,0,0,2026,3,44
3088|8|6,3088,8,6,代码 3088（PT8/TS6）,日,其他,30880601,0,4,2026,3,44
3089|8|6,3089,8,6,代码 3089（PT8/TS6）,日,其他,30890601,0,2027,2027,3,44
2645|8|6,2645,8,6,代码 2645（PT8/TS6）,日,其他,26450601,0,2027,2027,3,44
2646|8|6,2646,8,6,代码 2646（PT8/TS6）,日,其他,26460601,0,9,2026,3,44
2636|8|6,2636,8,6,代码 2636（PT8/TS6）,日,其他,26360601,0,4,2026,3,44
24841|8|6,24841,8,6,代码 24841（PT8/TS6）,日,其他,248410601,0,2027,2027,3,44
2648|8|6,2648,8,6,代码 2648（PT8/TS6）,日,其他,26480601,0,9,2026,3,44
2644|8|6,2644,8,6,代码 2644（PT8/TS6）,日,其他,26440601,0,4,2026,3,44
24840|8|6,24840,8,6,代码 24840（PT8/TS6）,日,其他,248400601,0,4,2026,3,44
24839|8|6,24839,8,6,代码 24839（PT8/TS6）,日,其他,248390601,0,9,2026,3,44
2641|8|6,2641,8,6,代码 2641（PT8/TS6）,日,其他,26410601,0,2027,2027,3,44
9290|1|21,9290,1,21,代码 9290（PT1/TS21）,周,煤炭,92902100,0,0,2026,3,44
9290|2|21,9290,2,21,代码 9290（PT2/TS21）,周,煤炭,92902100,0,0,2026,3,44
2588|8|21,2588,8,21,Puerto Bolivar fob（周均价）,周,煤炭,25882100,0,0,2026,3,44
9291|8|21,9291,8,21,代码 9291（PT8/TS21）,周,其他,92912100,0,0,2026,3,44
9290|8|21,9290,8,21,"汉普顿路 6,000 kcal fob（周均价）",周,煤炭,92902100,0,0,2026,3,44
12111|4|0,12111,4,0,"API 10 指数（周，fob Puerto Bolivar 6,000）",周,煤炭,121110000,0,32,2026,3,44
